shot_id,start_time,end_time,duration,lyric_passage,narrative_purpose,primary_visual,foreground_action,background_action,camera_movement,transition_in,transition_out,dominant_palette,typography_use,production_method,render_status,review_notes
S001,0:00,0:04,4,Opening silence,Establish oppressive atmosphere,Endless bureaucratic corridor stretching to vanishing point,Single figure slumped at desk motionless,Flickering fluorescent lights casting long shadows,Slow dolly forward,Black fade-in,Hard cut,Near-black charcoal dirty white,Title card: THE MAGICIAN'S EMPIRE,Procedural SVG corridor with perspective distortion,pending,Establish scale and dread
S002,0:04,0:08,4,Opening silence,Introduce institutional setting,Rows of identical filing cabinets forming canyon walls,Dust motes floating in shaft of light,Papers scattered across floor like fallen leaves,Static wide shot,Hard cut,Dissolve,Charcoal oxidized metal,Subtle date stamp in corner,Python/Pillow texture overlay on procedural geometry,pending,Emphasize monotony
S003,0:08,0:12,4,First breath heard,First sign of awakening,Close-up of hand twitching on desk surface,Fingers slowly unclenching,Shadow of mask hovering just out of frame,Slow push-in on hand,Cut from previous,Crossfade to next,Dirty white muted gold,Handwritten lyric fragment appears,Hand-drawn animation overlay on 3D model,pending,Show first spark of consciousness
S004,0:12,0:16,4,Awakening begins,Figure rises from stupor,Medium shot of figure lifting head slowly,Eyes opening confused and disoriented,Other figures in background still slumped at desks,Slow tilt up from desk to face,Crossfade,Hard cut,Muted gold oxidized metal,Your neighbor is not the enemy fades in briefly,Typography animation with xerox degradation,pending,Establish protagonist
S005,0:16,0:20,4,Confusion and search,Protagonist surveys environment,Over-shoulder shot looking down corridor,Figure standing and turning slowly,Dozens of identical figures at identical desks,Handheld camera slight movement,Hard cut,Dissolve,Charcoal dirty white,Environmental text: DEPARTMENT OF COMPLIANCE,Procedural SVG with CRT interference,pending,Show scale of conformity
S006,0:20,0:24,4,First movement,Figure takes tentative step,Low angle tracking shot following feet,Shoes stepping onto cold floor,Other figures beginning to stir in background,Tracking shot moving backward,Hard cut,Cut to next,Near-black muted gold,Subtle pulse effect on edges,Particle system dust motes,pending,Emphasize isolation
S007,0:24,0:28,4,Others awakening,Collective stirring begins,Medium wide shot of multiple figures rising,Arms pushing off desks chairs scraping,Fluorescent lights flickering more intensely,Static shot with figures moving,Crossfade,Hard cut,Dirty white oxidized metal,Multiple lyric fragments appearing and fading,Typography with hand-drawn imperfection,pending,Show collective awakening
S008,0:28,0:32,4,Masks descending,The mechanism revealed,Low angle looking up at ceiling,Mask shapes descending on wires like puppets,Geometric patterns on ceiling rotating,Slow tilt up to ceiling,Hard cut,Dissolve,Oxidized metal muted gold,MASK text appearing mechanically,Procedural SVG mechanical diagram,pending,Reveal the control mechanism
S009,0:32,0:36,4,Masks approaching,Inevitable conformity,Medium shot of mask descending toward protagonist,Mask swinging gently on wire,Other masks descending around figure,Static shot with mask movement,Crossfade,Hard cut,Charcoal oxidized metal,Your neighbor is not the enemy appears,Typography with glitch effect,pending,Create tension
S010,0:36,0:40,4,Mask contact,The moment of submission,Extreme close-up of mask touching face,Mask settling onto features,Shadow falling across eyes,Slow push-in to extreme close-up,Hard cut,Cut to next,Near-black muted gold,Silence in typography,Hand-drawn imperfection overlay,pending,Critical moment of choice
S025,1:34,1:38,4,Production process,Weapons being made,Medium shot of mechanical arms assembling,Parts coming together automatically,Sparks flying from welding points,Tracking shot along assembly line,Crossfade,Hard cut,Warning red toxic amber,Production text scrolling,Typography with mechanical movement,Python/Pillow mechanical animation,pending,Show industrial process
S026,1:38,1:42,4,Quality control,Standardization of violence,Close-up of masks being inspected,Identical masks passing on conveyor,Rejection of imperfect masks,Static close-up with movement,Hard cut,Cut to next,Oxidized metal warning red,Quality control stamps,Typography with stamp effect,Hand-drawn imperfection overlay,ppending,Show standardization
S027,1:42,1:46,4,Distribution,Weapons being shipped,Wide shot of crates being loaded,Boxes marked with symbols moving out,Trucks or conveyances departing,Static wide shot with movement,Crossfade,Dissolve,Toxic amber oxidized metal,Distribution routes diagram,Procedural SVG logistics diagram,pending,Show scale of distribution
S028,1:46,1:50,4,Recipients arming,Populations receiving weapons,Medium shot of masked figures receiving weapons,Figures being handed equipment,Training motions beginning,Tracking shot with figures,Hard cut,Hard cut,Warning red deep violet,Arming text fragments,Typography with military styling,Python/Pillow compositing,pending,Show preparation for conflict
S029,1:50,1:54,4,Training montage,Manufactured soldiers,Quick cuts of training exercises,Figures practicing combat motions,Instructors demonstrating,Quick cuts between shots,Hard cuts between,Flash transitions,Toxic amber warning red,Training manual text,Hand-drawn instruction diagrams,Particle system training sparks,pending,Show manufactured readiness
S030,1:54,1:58,4,Deployment begins,Armies moving out,Wide shot of columns of masked figures marching,Perfect synchronization in movement,Landscape of conflict ahead,Tracking shot alongside marchers,Crossfade,Dissolve,Oxidized metal warning red,March rhythm text,Typography with marching cadence,Procedural SVG marching patterns,pending,Show deployment
S031,1:58,2:02,4,Battle lines form,Two sides facing off,Wide shot of two armies facing each other,Identical masks on both sides,Weapons raised,Static wide shot,Hard cut,Cut to next,Warning red deep violet,Enemy text appearing,Typography with division effect,Python/Pillow mirrored composition,pending,Show artificial opposition
S032,2:02,2:06,4,First clash,Conflict erupts,Medium shot of front lines colliding,Bodies impacting weapons clashing,Chaos beginning,Handheld chaotic movement,Crossfade,Hard cut,Warning red toxic amber,Impact text,Hand-drawn impact lines,Particle system collision effects,pending,Show conflict beginning
S033,2:06,2:10,4,Battle chaos,War in full swing,Wide shot of battle across field,Multiple engagements happening,Smoke and debris rising,Overhead shot of battle,Hard cut,Dissolve,Toxic amber warning red deep red,Chaos text fragments,Typography with explosion effects,Particle system battle effects,pending,Show scale of conflict
S034,2:10,2:14,4,Casualties mount,Cost of manufactured war,Close-up of fallen masked figures,Masks cracked or removed showing nothing beneath,Others stepping over fallen,Static close-up with movement,Crossfade,Dissolve,Near-black warning red,Casualty count text,Typography with counting effect,Hand-drawn imperfection overlay,pending,Show human cost
S035,2:14,2:18,4,Behind the lines,The machinery continues,Wide shot of factory still producing,Assembly lines running smoothly,More weapons being created,Static wide shot,Hard cut,Cut to next,Oxidized metal warning red,Production continues text,Procedural SVG factory diagram,pending,Show war's persistence
S036,2:18,2:20,2,Transition to revelation,Bridge to movement IV,Close-up of single figure removing mask,Hands reaching up to mask,Walls of maze becoming transparent,Slow push-in to face,Dissolve,Hard cut,Transition to ultraviolet,Revelation text beginning,Transition effect with mask removal,Hand-drawn revelation overlay,pending,Bridge to discovery
S037,2:20,2:24,4,Mask removed,First revelation,Close-up of face without mask,Eyes opening wide with realization,Mask held in hands,Static close-up,Hard cut,Dissolve,Ultraviolet neon magenta,Truth text appearing,Typography with revelation styling,Python/Pillow face composite,pending,Show moment of clarity
S038,2:24,2:28,4,Walls transparent,The maze revealed as illusion,Medium shot of maze walls becoming glass-like,Figure seeing through walls,Other figures visible on all sides,Static shot with transparency increasing,Crossfade,Hard cut,Ultraviolet electric blue,Illusion text fragments,Typography with transparency effect,Procedural SVG transparency animation,pending,Reveal the illusion
S039,2:28,2:32,4,Looking behind,Seeing the mechanism,Wide shot of figure walking toward wall,Reaching hand through transparent wall,Seeing machinery behind,Tracking shot following figure,Hard cut,Cut to next,Electric blue neon magenta,Mechanism text appearing,Hand-drawn machinery diagram,Python/Pillow layered reveal,pending,Show the mechanism
S040,2:32,2:36,4,Machinery revealed,The control system exposed,Close-up of pulleys and gears behind wall,Complex system of ropes and levers,Projectors casting maze images,Slow pan across machinery,Crossfade,Dissolve,Neon magenta acid green,Machinery labels and diagrams,Procedural SVG mechanical diagram,pending,Expose the control system
S041,2:36,2:40,4,Mirrors and projections,The trick revealed,Medium shot of mirror array,Projections creating maze walls,Light sources being manipulated,Static shot showing mechanism,Hard cut,Hard cut,Acid green electric blue,Projection text,Typography with light beam effect,Particle system light rays,pending,Show how illusion works
S042,2:40,2:44,4,Control room,The operators' space,Wide shot of control room with screens,Monitors showing maze from above,Control panels with buttons and levers,Slow dolly through control room,Crossfade,Dissolve,Ultraviolet neon magenta,Control text fragments,Typography with interface styling,Python/Pillow interface composition,pending,Show the controllers
S043,2:44,2:48,4,Empty chairs,The operators absent,Close-up of empty chairs in control room,Screens still running无人 operating,Coffee cups still warm,Static close-up with panning,Hard cut,Cut to next,Electric blue ultraviolet,Abandoned text,Hand-drawn emptiness overlay,Particle system dust motes,pending,Show operators gone
S044,2:48,2:52,4,Understanding dawns,Figure comprehends,Medium shot of figure at control panel,Hands touching controls understanding,Looking out at maze,Over-shoulder shot looking out,Crossfade,Dissolve,Neon magenta acid green,Understanding text fragments,Typography with realization effect,Python/Pillow comprehension overlay,pending,Show understanding
S045,2:52,2:56,4,Calling to others,Spreading revelation,Wide shot of figure calling out to others,Voice carrying through maze,Other figures looking up hearing,Static wide shot with figures reacting,Hard cut,Dissolve,Acid green electric blue,Call text appearing,Typography with sound wave effect,Particle system voice waves,pending,Show spreading awareness
S046,2:56,3:00,4,Others removing masks,Collective awakening,Medium shot of multiple figures removing masks,Different faces revealed beneath,Expressions of realization,Quick cuts between faces,Hard cuts between,Flash transitions,Ultraviolet neon magenta electric blue,Faces text fragments,Hand-drawn face variations,Python/Pillow face compositing,pending,Show collective awakening
S047,3:00,3:04,4,Walls dissolving,The maze disappearing,Wide shot of maze walls becoming transparent then vanishing,Open space revealed where maze was,Figures seeing each other clearly,Static wide shot with dissolution,Crossfade,Dissolve,Electric blue acid green neon magenta,Freedom text appearing,Typography with dissolution effect,Procedural SVG wall dissolution,pending,Show maze ending
S048,3:04,3:08,4,Meeting across divisions,Barriers broken,Medium shot of figures from different groups meeting,Hands reaching toward each other,No walls between them now,Static shot with figures approaching,Hard cut,Cut to next,Complex shared color beginning,Connection text,Hand-drawn connection lines,Particle system connection sparks,pending,Show division ending
S049,3:08,3:10,2,Transition to power,Bridge to movement V,Overhead shot of figures gathering together,Open space where maze was,Light beginning to gather,Slow zoom out from overhead,Dissolve,Hard cut,Transition to complex shared color,Power text beginning,Transition effect with light gathering,Procedural SVG light gathering,pending,Bridge to empowerment
S050,3:10,3:14,4,Gathering together,Collective assembly,Wide shot of figures gathering in open space,Coming together in circle or cluster,Light fragments appearing in hands,Static wide shot with gathering,Hard cut,Dissolve,Complex shared color plural alive,Gathering text,Typography with convergence effect,Python/Pillow crowd composition,pending,Show collective gathering
S051,3:14,3:18,4,Light fragments shared,Power distributed,Close-up of hands holding light fragments,Light passing from hand to hand,Many hands now holding light,Tracking shot following light,Hard cut,Cut to next,Complex shared color with light,Shared text fragments,Hand-drawn light effects,Particle system light fragments,pending,Show distributed power
S052,3:18,3:22,4,Circle forming,Collective decision making,Wide shot of circle of figures holding light,Light connecting between them,Faces visible and diverse,Overhead shot of circle,Crossfade,Dissolve,Complex shared color alive,Circle text appearing,Procedural SVG circle geometry,Python/Pillow circle composition,pending,Show collective formation
S053,3:22,3:26,4,Voices raised,Collective expression,Medium shot of figures speaking together,Mouths moving in unison but diverse,Light pulsing with voices,Static shot with figures speaking,Hard cut,Hard cut,Complex shared color vibrant,Voices text fragments,Typography with sound visualization,Particle system voice particles,pending,Show collective voice
S054,3:26,3:30,4,Light growing,Power increasing,Wide shot of circle with light growing brighter,Light reaching upward,Figures illuminated by shared light,Static wide shot with light growing,Crossfade,Dissolve,Complex shared color luminous,Growth text,Typography with expansion effect,Particle system light growth,pending,Show power growing
S055,3:30,3:34,4,Machinery repurposed,Tools transformed,Medium shot of figures working with machinery,Repurposing control panels and projectors,Creating new things with tools,Tracking shot showing transformation,Hard cut,Cut to next,Complex shared color creative,Transformation text,Hand-drawn transformation diagrams,Python/Pillow transformation composite,pending,Show tools repurposed
S056,3:34,3:38,4,New structures building,Creating together,Wide shot of new structures being built,Figures collaborating on construction,Light integrated into building,Static wide shot with building,Hard cut,Dissolve,Complex shared color alive creative,Building text fragments,Procedural SVG construction diagram,Particle system construction sparks,pending,Show creation
S057,3:38,3:42,4,Art and expression,Creative emergence,Medium shot of figures creating art together,Painting music writing appearing,Color and form emerging,Quick cuts between creative acts,Hard cuts between,Flash transitions,Complex shared color plural vibrant,Art text appearing,Typography with artistic styling,Hand-drawn art overlay,pending,Show creative emergence
S058,3:42,3:46,4,Network forming,Connected community,Wide shot of network of light connections,Figures connected by light threads,Community visible,Overhead shot of network,Crossfade,Dissolve,Complex shared color connected,Network text,Procedural SVG network diagram,Python/Pillow network composition,pending,Show community formation
S059,3:46,3:50,4,Power shared,Authority distributed,Medium shot of figures passing light to others,Light spreading through crowd,Many now holding light,Tracking shot following light spread,Hard cut,Hard cut,Complex shared color luminous alive,Shared text fragments,Typography with distribution effect,Particle system light distribution,pending,Show power distribution
S060,3:50,3:54,4,Diverse voices,Plurality expressed,Quick cuts of different figures speaking,Diverse faces and expressions,Each contributing uniquely,Quick cuts between speakers,Hard cuts between,Flash transitions,Complex shared color plural,Diversity text,Hand-drawn diversity overlay,Python/Pillow diversity composite,pending,Show plurality
S061,3:54,3:58,4,Collective creation,Working together,Wide shot of large group creating something together,Many hands working on shared project,Light and color flowing through work,Static wide shot with creation,Hard cut,Dissolve,Complex shared color vibrant alive,Creation text,Procedural SVG creation diagram,Particle system creation effects,pending,Show collective creation
S062,3:58,4:00,2,Transition to outro,Bridge to final hook,Wide shot of community in full expression,Light and color and sound,Transition to final statement,Slow zoom out from community,Dissolve,Hard cut,Complex shared color full,Final text beginning,Transition effect with light burst,Procedural SVG light burst,pending,Bridge to conclusion
S063,4:00,4:04,4,Final statement begins,The message crystallizes,Medium shot of single figure holding light bright,Looking directly at camera,Community visible behind,Static medium shot,Hard cut,Dissolve,Complex shared color luminous,Your neighbor is not the enemy full statement,Typography with full revelation,Python/Pillow final composite,pending,Deliver final message
S064,4:04,4:08,4,Message in world,Text becomes physical,Wide shot of text appearing in environment,Your neighbor is not the enemy written large,Integrated into landscape and architecture,Static wide shot with text appearing,Crossfade,Hard cut,Complex shared color integrated,Environmental typography,Procedural SVG environmental text,Hand-drawn text overlay,ppending,Show message permanent
S065,4:08,4:12,4,Many holding light,Power remains distributed,Wide shot of many figures holding light fragments,Light connecting them all,Community standing together,Overhead shot of community,Hard cut,Dissolve,Complex shared color plural alive,Together text fragments,Typography with unity effect,Particle system unity light,pending,Show distributed power
S066,4:12,4:16,4,Masks transformed,Tools repurposed,Medium shot of masks being transformed,Old masks becoming part of new creation,Nothing wasted all repurposed,Tracking shot showing transformation,Hard cut,Cut to next,Complex shared color creative,Transformation text,Hand-drawn transformation,Python/Pillow transformation,pending,Show nothing wasted
S067,4:16,4:20,4,Machinery for creation,Tools for building,Wide shot of machinery now creating art and community,Projectors showing shared visions,Tools building not destroying,Static wide shot with creation,Crossfade,Dissolve,Complex shared color vibrant,Creation text,Procedural SVG creation machinery,Particle system creation sparks,pending,Show tools repurposed
S068,4:20,4:24,4,Community alive,Living network,Wide shot of community in full expression,Light and color and movement,Life and creativity flowing,Static wide shot with life,Hard cut,Dissolve,Complex shared color full alive,Life text fragments,Typography with life effect,Particle system life particles,pending,Show living community
S069,4:24,4:28,4,Final image,The vision complete,Wide shot of entire community with light,All connected all creating,Message visible in environment,Slow zoom out to take in all,Hard cut,Slow fade,Complex shared color complete,Your neighbor is not the enemy final,Full environmental typography,Python/Pillow final composition,pending,Final complete image
S070,4:28,4:30,2,End,Conclusion,Light holding in darkness,Fade to black,Slow fade to black,Complex shared color to black,Final text holding then fading,Simple fade,Python/Pillow final fade,pending,End video
